Dog	T.0	T.1	T.2	T.3	T.4	T.5	T.6	T.7	T.8	T.9	T.10	T.11	T.12	T.13	T.14	T.15	T.16	T.17	T.18	T.19	T.20	T.21	T.22	T.23	T.24
1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
15	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
16	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
17	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
18	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
20	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
21	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1
22	0	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
23	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
24	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1
25	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1
26	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
27	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
28	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1
29	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1
30	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0
