location,station_id,temperature,month_name,month,day,date,day_of_year
Death Valley,USC00042319,51,Jan,01,1,0000-01-01,1
Death Valley,USC00042319,51.2,Jan,01,2,0000-01-02,2
Death Valley,USC00042319,51.3,Jan,01,3,0000-01-03,3
Death Valley,USC00042319,51.4,Jan,01,4,0000-01-04,4
Death Valley,USC00042319,51.6,Jan,01,5,0000-01-05,5
Death Valley,USC00042319,51.7,Jan,01,6,0000-01-06,6
Death Valley,USC00042319,51.9,Jan,01,7,0000-01-07,7
Death Valley,USC00042319,52,Jan,01,8,0000-01-08,8
Death Valley,USC00042319,52.2,Jan,01,9,0000-01-09,9
Death Valley,USC00042319,52.3,Jan,01,10,0000-01-10,10
Death Valley,USC00042319,52.5,Jan,01,11,0000-01-11,11
Death Valley,USC00042319,52.7,Jan,01,12,0000-01-12,12
Death Valley,USC00042319,52.9,Jan,01,13,0000-01-13,13
Death Valley,USC00042319,53,Jan,01,14,0000-01-14,14
Death Valley,USC00042319,53.2,Jan,01,15,0000-01-15,15
Death Valley,USC00042319,53.4,Jan,01,16,0000-01-16,16
Death Valley,USC00042319,53.6,Jan,01,17,0000-01-17,17
Death Valley,USC00042319,53.7,Jan,01,18,0000-01-18,18
Death Valley,USC00042319,53.9,Jan,01,19,0000-01-19,19
Death Valley,USC00042319,54.1,Jan,01,20,0000-01-20,20
Death Valley,USC00042319,54.3,Jan,01,21,0000-01-21,21
Death Valley,USC00042319,54.5,Jan,01,22,0000-01-22,22
Death Valley,USC00042319,54.6,Jan,01,23,0000-01-23,23
Death Valley,USC00042319,54.8,Jan,01,24,0000-01-24,24
Death Valley,USC00042319,55,Jan,01,25,0000-01-25,25
Death Valley,USC00042319,55.2,Jan,01,26,0000-01-26,26
Death Valley,USC00042319,55.4,Jan,01,27,0000-01-27,27
Death Valley,USC00042319,55.6,Jan,01,28,0000-01-28,28
Death Valley,USC00042319,55.8,Jan,01,29,0000-01-29,29
Death Valley,USC00042319,56,Jan,01,30,0000-01-30,30
Death Valley,USC00042319,56.2,Jan,01,31,0000-01-31,31
Death Valley,USC00042319,56.4,Feb,02,1,0000-02-01,32
Death Valley,USC00042319,56.6,Feb,02,2,0000-02-02,33
Death Valley,USC00042319,56.8,Feb,02,3,0000-02-03,34
Death Valley,USC00042319,57,Feb,02,4,0000-02-04,35
Death Valley,USC00042319,57.2,Feb,02,5,0000-02-05,36
Death Valley,USC00042319,57.5,Feb,02,6,0000-02-06,37
Death Valley,USC00042319,57.7,Feb,02,7,0000-02-07,38
Death Valley,USC00042319,57.9,Feb,02,8,0000-02-08,39
Death Valley,USC00042319,58.2,Feb,02,9,0000-02-09,40
Death Valley,USC00042319,58.4,Feb,02,10,0000-02-10,41
Death Valley,USC00042319,58.7,Feb,02,11,0000-02-11,42
Death Valley,USC00042319,58.9,Feb,02,12,0000-02-12,43
Death Valley,USC00042319,59.2,Feb,02,13,0000-02-13,44
Death Valley,USC00042319,59.5,Feb,02,14,0000-02-14,45
Death Valley,USC00042319,59.8,Feb,02,15,0000-02-15,46
Death Valley,USC00042319,60.1,Feb,02,16,0000-02-16,47
Death Valley,USC00042319,60.3,Feb,02,17,0000-02-17,48
Death Valley,USC00042319,60.6,Feb,02,18,0000-02-18,49
Death Valley,USC00042319,60.9,Feb,02,19,0000-02-19,50
Death Valley,USC00042319,61.2,Feb,02,20,0000-02-20,51
Death Valley,USC00042319,61.6,Feb,02,21,0000-02-21,52
Death Valley,USC00042319,61.9,Feb,02,22,0000-02-22,53
Death Valley,USC00042319,62.2,Feb,02,23,0000-02-23,54
Death Valley,USC00042319,62.5,Feb,02,24,0000-02-24,55
Death Valley,USC00042319,62.8,Feb,02,25,0000-02-25,56
Death Valley,USC00042319,63.2,Feb,02,26,0000-02-26,57
Death Valley,USC00042319,63.5,Feb,02,27,0000-02-27,58
Death Valley,USC00042319,63.8,Feb,02,28,0000-02-28,59
Death Valley,USC00042319,64,Feb,02,29,0000-02-29,60
Death Valley,USC00042319,64.1,Mar,03,1,0000-03-01,61
