"earn","height","sex","race","ed","age"
79571.299011024,73.89,"male","white",16,49
96396.9886433106,66.23,"female","white",16,62
48710.666947391,63.77,"female","white",16,33
80478.0961525837,63.22,"female","other",16,95
82089.3454983326,63.08,"female","white",17,43
15313.3529014342,64.53,"female","white",15,30
47104.1718212293,61.54,"female","white",12,53
50960.0542820731,73.29,"male","white",17,50
3212.6495560539,72.24,"male","hispanic",15,25
42996.6378844038,72.4,"male","white",12,30
10328.6188426045,70.22,"male","white",16,69
1002.30715511839,63.15,"female","white",14,54
47597.8198637099,68.11,"male","white",11,38
19019.5422985066,68.08,"male","white",12,31
20063.9966387225,64.86,"female","white",12,55
992.832346303227,60.06,"female","white",12,31
35972.1711232638,66.01,"female","white",16,39
26930.5439643451,68.07,"male","white",12,62
64602.0639724231,68.16,"female","white",14,33
69993.6930698179,70.02,"male","white",13,48
1000.21830625211,67.08,"female","white",9,25
12131.8221152514,64.2,"female","black",12,59
84223.3979186057,72.76,"male","black",13,39
8949.47493547637,62.17,"female","white",13,55
23278.3232780607,63.04,"female","white",14,25
8750.13918500201,66.67,"male","white",14,26
64593.5998054014,65.95,"female","white",12,45
54079.8149454029,71.69,"male","white",12,49
16896.1000435301,62.76,"female","black",12,39
-95.7102792312691,68.46,"male","white",11,25
43938.8576046547,64.07,"female","white",16,64
1004.09561369181,60,"female","white",12,48
79478.0468181047,71.97,"male","white",16,42
984.761813301634,68.25,"female","white",12,59
65237.7700476547,76.68,"male","white",16,37
978.872090839732,63.77,"female","white",10,23
24845.4285917486,63.96,"female","white",14,29
40754.1029736281,63.72,"female","white",12,37
119251.055119839,71.92,"male","white",17,43
42933.0122551917,68.12,"male","white",17,35
20088.3114644238,64.48,"female","white",12,30
12924.2239977829,60.94,"female","white",14,82
48693.4797964477,67.19,"female","black",14,35
34383.101849067,65.05,"female","white",12,61
43928.4198331574,64.17,"female","white",14,30
5782.248948451,66.49,"female","white",15,69
40758.5577226173,65.58,"female","white",12,34
39162.8754520925,64.93,"female","white",12,45
51896.846670074,67.02,"female","white",18,33
16905.1408589265,67.49,"female","white",17,34
1000.99111084442,70.03,"female","white",12,61
18497.8538930071,60.61,"female","hispanic",12,25
30740.47803689,64.92,"female","white",13,36
32803.4426895406,62,"female","white",12,33
5529.47149841489,72.16,"male","white",10,22
20594.711211041,66.35,"male","black",8,60
39816.5002027645,70.09,"male","white",12,69
33327.5987832144,70.05,"male","white",17,45
55067.7931193718,68.49,"female","white",17,53
10545.4502477035,60.13,"female","white",12,69
26979.2976737281,71.15,"male","white",12,32
55634.1696790621,70.77,"male","white",12,36
6380.09148122974,72.87,"male","white",13,22
23264.3741899011,68,"female","white",14,59
